Header,Time,Gyro(X),Gyro(Y),Gyro(Z),Ang. Vel(X),Ang. Vel(Y),Ang. Vel(Z),Accel(X),Accel(Y),Accel(Z),Magn(X),Magn(Y),Magn(Z),Pressure,Temp(LPS),Humidity,Temp(HTS),GPS Fix,Latitude,Longitude,Altitude,Speed,Time,Timestamp,# of Satellites
30,0,-6,-221,997,-910,-1120,-420,-46,191,963,-364,-292,-690,862.6099854,26.89999962,32.70000076,26.60000038,0,0,0,0,0,0,0,3
30,51,-6,-221,996,-630,-1120,-420,-50,195,956,-367,-289,-688,862.4799805,26.89999962,32.70000076,26.60000038,0,0,0,0,0,51,51,3
30,395,-5,-222,997,-1120,-1120,-350,-42,195,967,-364,-289,-690,862.5300293,26.89999962,32.59999847,26.60000038,0,0,0,0,0,395,47,3
30,729,-7,-220,1000,-1120,-1120,-350,-54,191,975,-379,-294,-688,862.5,26.89999962,32.59999847,26.60000038,0,0,0,0,0,729,53,5
30,1050,-7,-215,1001,-1260,-1120,-420,-50,195,983,-372,-294,-688,862.460022,26.89999962,32.59999847,26.60000038,0,0,0,0,0,1050,46,5
30,1392,-6,-210,996,-630,-1120,-420,-58,191,967,-361,-292,-687,862.5300293,26.89999962,32.79999924,26.60000038,0,0,0,0,0,1392,47,5
30,1719,-6,-223,995,-70,-1120,-490,-42,195,967,-354,-288,-684,862.4699707,26.89999962,32.79999924,26.60000038,0,0,0,0,0,1719,47,5
30,2040,-6,-226,996,-560,-1120,-420,-42,207,932,-370,-285,-696,862.4000244,26.89999962,32.79999924,26.60000038,0,0,0,0,0,2040,46,5
30,2380,-6,-222,999,-1260,-1190,-350,-46,199,963,-370,-291,-690,862.4099731,26.89999962,32.59999847,26.60000038,0,0,0,0,0,2380,44,4
30,2707,-6,-212,1001,-1190,-1190,-420,-50,187,967,-373,-282,-690,862.460022,26.89999962,32.59999847,26.60000038,0,0,0,0,0,2707,47,4
30,3028,-8,-212,1000,-560,-1120,-420,-46,191,956,-367,-282,-691,862.4699707,26.89999962,32.59999847,26.60000038,0,0,0,0,0,3028,46,4
30,3371,-6,-221,999,-420,-1120,-490,-69,195,959,-372,-288,-685,862.5599976,26.89999962,32.59999847,26.60000038,0,0,0,0,0,3371,47,6
